PLOT,yr,plot,lat,long,n_trees,agb
430,2018,430,42.314392,-73.86678299999996,29,13536.341764
432,2015,432,44.038128,-75.875951,0,0
433,2014,433,44.144714000000015,-75.107571,29,7813.0355839999975
434,2013,434,42.514006,-77.406791,0,0
435,2014,435,42.261825,-76.821174,0,0
436,2017,436,42.717014,-75.575206,9,1620.723272
437,2015,437,43.29946,-75.62509999999999,11,2543.0822829999997
438,2013,438,44.74222400000004,-74.36323099999997,63,20255.283878000006
439,2017,439,42.9088,-74.375604,0,0
440,2014,440,44.133037999999964,-74.91343499999996,48,3871.408031
441,2013,441,44.14480499999999,-74.61786099999998,30,24303.614634
443,2017,443,43.56495099999997,-74.68259600000002,64,26681.770288000003
444,2013,444,43.488337,-76.26116,32,19023.097962000003
445,2014,445,43.337577999999965,-74.15795799999995,36,32452.276029
447,2014,447,44.42480900000005,-73.79917000000013,68,14621.101021
449,2014,449,42.116696,-73.888786,5,5732.839918
450,2014,450,42.316622000000024,-77.83914699999997,25,21565.270322
451,2015,451,43.452332999999975,-74.41249299999998,34,25593.420216
453,2014,453,42.04294899999998,-73.978285,35,15946.304981
454,2019,454,41.512265,-74.517642,0,0
458,2013,458,42.572532,-76.144349,0,0
459,2015,459,44.265314,-73.63349400000003,41,13867.175127000002
460,2013,460,43.90214200000002,-73.60123399999999,24,13584.045023
462,2015,462,42.560854,-75.622085,0,0
463,2019,463,41.815288,-74.710451,5,813.878065
465,2018,465,41.866986,-73.78503099999996,28,35931.164714
467,2016,467,43.42081000000001,-76.238712,31,0
468,2015,468,44.447312000000004,-74.47532200000008,39,7407.057697
469,2016,469,42.04362700000001,-75.50988099999996,35,6005.957084000001
470,2018,470,44.88821099999997,-73.7135360000001,67,14230.717504999999
471,2014,471,42.48909899999995,-77.245993999999925,48,30335.378514000004
473,2014,473,44.08946399999997,-74.58057400000004,40,25190.211940999998
474,2018,474,42.226051,-77.622684,0,0
475,2019,475,42.615159,-77.400431,0,0
476,2019,476,43.260808,-73.33555800000005,36,37482.065031
477,2019,477,42.618946999999984,-78.62612600000007,44,7490.445871
478,2016,478,44.806277000000044,-73.64494600000009,92,17465.394195999997
479,2019,479,41.26233700000001,-73.67776299999997,26,18650.589117999996
480,2013,480,42.88824399999999,-74.45923900000001,10,7049.8511690000005
481,2016,481,42.26713100000002,-76.52361800000004,45,51276.702378
482,2016,482,42.376203,-74.773703,0,0
483,2016,483,42.920528,-78.689273,0,0
485,2019,485,42.328148,-76.651252,0,0
486,2018,486,44.192542,-74.96473399999999,34,12644.019478
487,2016,487,43.494836,-74.357446,0,0
488,2016,488,43.169168000000006,-75.32425,10,5649.467353
489,2016,489,44.498847999999974,-73.49447000000005,37,3571.4378329999995
490,2019,490,42.35395699999995,-74.48969399999994,75,28318.848784999995
491,2019,491,41.777941,-74.394332,0,0
493,2015,493,42.01877,-77.300888,0,0
494,2018,494,42.967801,-78.21915,0,0
495,2019,495,44.21651900000001,-75.26891500000008,40,16657.588772000003
496,2019,496,42.533159999999974,-77.25498299999997,34,23576.013612000006
497,2019,497,42.384561999999974,-75.24875199999998,43,7180.532935
498,2017,498,40.760001,-73.475826,0,0
500,2016,500,42.822703,-74.477056,0,0
501,2019,501,42.973636,-75.317787,0,0
502,2015,502,41.582173,-73.841127,0,0
503,2013,503,43.003304,-76.589299,0,0
505,2016,505,43.151933,-78.728086,0,0
506,2013,506,42.296706,-73.810126,0,0
507,2013,507,41.68011400000001,-74.57349100000008,51,33759.981059
508,2015,508,43.373319999999985,-74.830405,33,31636.143347
509,2013,509,42.84894099999999,-76.230869,23,0
510,2017,510,43.25427799999997,-73.96633100000004,31,17987.884708999998
511,2014,511,44.41193000000003,-73.94842500000003,56,16172.956277
512,2015,512,43.672322999999935,-74.64672100000004,67,29197.322610000003
513,2018,513,43.483269,-73.548297,7,12889.43152
515,2013,515,41.581847,-73.565478,0,0
516,2017,516,43.576013,-75.92495899999996,26,22734.785961999998
518,2014,518,43.576417,-74.024118,32,10482.004187
520,2018,520,43.94822,-75.09976499999998,33,26461.271255
522,2018,522,44.33859600000003,-73.51523799999997,36,7674.1837049999995
523,2014,523,42.53562,-74.51335199999995,26,2296.290692
524,2014,524,43.827226000000024,-76.21621400000002,29,1361.436888
525,2014,525,43.214615999999985,-74.08030899999996,39,16669.159548000003
526,2017,526,42.318585999999975,-76.10116699999989,79,0
528,2017,528,42.220677,-76.441626,0,0
530,2013,530,42.36499400000002,-75.00931199999997,25,8012.641094
531,2014,531,41.95293500000002,-73.89946499999998,32,46503.063183
534,2014,534,44.397248,-75.11934500000002,38,35102.639469
535,2017,535,44.889503,-74.87912800000001,10,625.6631850000001
536,2013,536,43.944436,-75.97339699999999,10,4163.207208
537,2013,537,43.82004800000003,-73.50239400000007,46,33921.452579
538,2014,538,42.337793,-73.762423,0,0
539,2017,539,42.32535800000003,-73.71853800000004,34,0
540,2013,540,42.25054899999999,-79.14243699999999,25,12411.539432
541,2019,541,42.407203,-78.052866,0,0
544,2015,544,42.213905,-77.566567,0,0
